x,y,theta,speed,lookahead_distance,p_gain,i_gain,path_p_gain,path_i_gain,distance_threshold,angle_threshold
-2.924,2.7122040816326534,-2.957625516217418,0.983722747728712,0.2429472470799427,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.7056734693877553,-2.950549857087711,1.0906197578120258,0.2558069300639088,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.6991428571428573,-2.9434741979580044,1.1705959551613057,0.26502029603348937,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.6926122448979593,-2.9363985388282976,1.2178881067159208,0.2703207102738435,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.686081632653061,-2.929322879698591,1.2337155824337396,0.2720715621780865,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.6795510204081636,-2.922247220568884,1.2241837996009415,0.2710185011693048,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.6730204081632656,-2.9151715614391773,1.197136229159402,0.26800778673308007,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.6664897959183675,-2.9080959023094706,1.159751290390059,0.26378983570904235,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.6599591836734695,-2.901020243179764,1.117538816922905,0.2589446446933674,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.6534285714285715,-2.893944584050057,1.0746400392450837,0.2539259781013061,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.646897959183674,-2.8868689249203507,1.034814881056892,0.2491764291890658,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.640367346938776,-2.879793265790644,1.0024452549254108,0.24524827276766833,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.633836734693878,-2.8727176066609372,0.9829534615443307,0.24285223427561836,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.6273061224489798,-2.8656419475312305,0.9821648261586357,0.24275479309277942,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.6207755102040817,-2.8585662884015237,1.0046023137754096,0.24551199324376108,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.6142448979591837,-2.851490629271817,1.051152758643745,0.2511357511757828,2.0,1.0,-inf,0.05,0.0,0.0
-2.924,2.607714285714286,-2.84441497014211,1.1175420301331576,0.25894501695917893,2.0,1.0,-inf,0.05,0.0,0.0
