x,y,theta,speed,lookahead_distance,p_gain,i_gain,angle_threshold
-1.562,-2.928326530612245,-1.6557042363513774,1.4399566435828552,0.16970307266415982,1.0,0.4285714285714286,0.0
-1.562,-2.9232244897959183,-1.658062789394613,1.4735403458624936,0.1716706349881944,1.0,0.39285714285714285,0.0
-1.562,-2.918122448979592,-1.6604213424378487,1.4603460687871974,0.1709003258503153,1.0,0.35714285714285715,0.0
-1.562,-2.9130204081632654,-1.6627798954810842,1.4095842449017217,0.16790379655634485,1.0,0.32142857142857145,0.0
-1.562,-2.907918367346939,-1.6651384485243197,1.332956806963517,0.16327625712047156,1.0,0.2857142857142857,0.0
-1.562,-2.9028163265306124,-1.6674970015675554,1.2410555808298902,0.1575471726709109,1.0,0.25,0.0
-1.562,-2.8977142857142857,-1.669855554610791,1.1417987496554924,0.1511157668580941,1.0,0.2142857142857143,0.0
-1.562,-2.8926122448979594,-1.6722141076540264,1.040603426973846,0.14426388508381757,1.0,0.1785714285714286,0.0
-1.562,-2.8875102040816327,-1.6745726606972622,0.9413656391470612,0.13721265533084484,1.0,0.1428571428571429,0.0
-1.562,-2.882408163265306,-1.6769312137404977,0.8474018438786344,0.13018462611834275,1.0,0.10714285714285715,0.0
-1.562,-2.8773061224489798,-1.6792897667837332,0.761890403526346,0.12344151680260139,1.0,0.07142857142857145,0.0
-1.562,-2.872204081632653,-1.681648319826969,0.6877164478760922,0.11727885127985285,1.0,0.035714285714285754,0.0
-1.562,-2.867102040816327,-1.6840068728702045,0.6270208475965857,0.11198400310728188,1.0,0.0,0.0
-1.562,-2.862,-1.68636542591344,0.580573590733235,0.10775653954477521,1.0,0.0,0.0
-1.562,-2.862,-1.6887239789566757,0.5476046892406317,0.1046522516948997,1.0,0.0,0.0
-1.562,-2.8604385757635,-1.6910825319999112,0.5260449692509475,0.10257143552187885,1.0,0.0,0.0
-1.5619999999999998,-2.8588172275157455,-1.6934410850431467,0.5131273063932761,0.10130422561702707,1.0,0.0,0.0
-1.5620000000000003,-2.857138505214664,-1.6957996380863825,0.5060673126333535,0.10060490173280362,1.0,0.0,0.0
-1.562,-2.85540495881818,-1.698158191129618,0.5025601747756665,0.10025569058917967,1.0,0.0,0.0
-1.5619999999999998,-2.8536191382842184,-1.7005167441728535,0.5009813405098575,0.10009808594672104,1.0,0.0,0.0
-1.562,-2.851783593570706,-1.702875297216089,0.5003390288920155,0.10003389714411966,1.0,0.0,0.0
-1.5620000000000005,-2.849900874635569,-1.7052338502593247,0.5001037283392062,0.10001037229599802,1.0,0.0,0.0
-1.5620000000000003,-2.8479735314367316,-1.7075924033025602,0.5000267125840826,0.1000026712227311,1.0,0.0,0.0
-1.5620000000000003,-2.846004113932121,-1.7099509563457957,0.5000047797867256,0.10000047797753026,1.0,0.0,0.0
-1.5619999999999998,-2.84399517207966,-1.7123095093890315,0.5,0.1,1.0,0.0,0.0
-1.5619999999999998,-2.8419492558372785,-1.714668062432267,0.5,0.1,1.0,0.0,0.0
-1.5619999999999996,-2.8398689151628997,-1.7170266154755025,0.5,0.1,1.0,0.0,0.0
-1.5619999999999998,-2.8377567000144492,-1.7193851685187382,0.5,0.1,1.0,0.0,0.0
-1.5620000000000003,-2.835615160349855,-1.7217437215619738,0.5000029094353983,0.10000029094311658,1.0,0.0,0.0
